Nr,Tree-ID,Table,Row,Line,Treatment,Tree Species,Type
1,B27,1,R1,3,D,Fagus Sylvatica,Measure
2,T14,1,R1,4,W,Abies Alba,Measure
3,B4,1,R1,5,D,Fagus Sylvatica,Measure
4,T3,1,R1,6,W,Abies Alba,Measure
5,D21,1,R1,7,D,Pseudotsuga Menziesii,Measure
6,E22,1,R1,8,W,Quercus Rorbur,Measure
7,B15,1,R1,9,D,Fagus Sylvatica,Measure
8,T11,1,R1,10,W,Abies Alba,Measure
9,D43,1,R1,12,D,Pseudotsuga Menziesii,Measure
10,B44,1,R1,11,W,Fagus Sylvatica,Measure
11,D41,1,R2,3,D,Pseudotsuga Menziesii,Measure
12,E34,1,R2,4,W,Quercus Rorbur,Measure
13,D7,1,R2,5,D,Pseudotsuga Menziesii,Measure
14,B13,1,R2,6,W,Fagus Sylvatica,Measure
15,E1,1,R2,7,D,Quercus Rorbur,Measure
16,D39,1,R2,8,W,Pseudotsuga Menziesii,Measure
17,T5,1,R2,9,D,Abies Alba,Measure
18,B17,1,R2,10,W,Fagus Sylvatica,Measure
19,T4,1,R2,11,D,Abies Alba,Measure
20,D18,1,R2,12,W,Pseudotsuga Menziesii,Measure
21,E35,1,R3,3,D,Quercus Rorbur,Measure
22,D9,1,R3,4,W,Pseudotsuga Menziesii,Measure
23,E12,1,R3,5,D,Quercus Rorbur,Measure
24,D4,1,R3,6,W,Pseudotsuga Menziesii,Measure
25,T28,1,R3,7,D,Abies Alba,Measure
26,B2,1,R3,8,W,Fagus Sylvatica,Measure
27,D31,1,R3,9,D,Pseudotsuga Menziesii,Measure
28,E30,1,R3,10,W,Quercus Rorbur,Measure
29,B24,1,R3,11,D,Fagus Sylvatica,Measure
30,E5,1,R3,12,W,Quercus Rorbur,Measure
31,T31,1,R4,3,D,Abies Alba,Measure
32,B3,1,R4,4,W,Fagus Sylvatica,Measure
33,T43,1,R4,5,D,Abies Alba,Measure
34,E6,1,R4,6,W,Quercus Rorbur,Measure
35,B35,1,R4,7,D,Fagus Sylvatica,Measure
36,T2,1,R4,8,W,Abies Alba,Measure
37,E40,1,R4,9,D,Quercus Rorbur,Measure
38,D3,1,R4,10,W,Pseudotsuga Menziesii,Measure
39,E29,1,R4,11,D,Quercus Rorbur,Measure
40,T10,1,R4,12,W,Abies Alba,Measure
41,T25,2,R5,3,W,Abies Alba,Measure
42,E19,2,R5,4,D,Quercus Rorbur,Measure
43,T29,2,R5,5,W,Abies Alba,Measure
44,D19,2,R5,6,D,Pseudotsuga Menziesii,Measure
45,E3,2,R5,7,W,Quercus Rorbur,Measure
46,T45,2,R5,8,D,Abies Alba,Measure
47,D42,2,R5,9,W,Pseudotsuga Menziesii,Measure
48,E25,2,R5,10,D,Quercus Rorbur,Measure
49,T33,2,R5,11,W,Abies Alba,Measure
50,B40,2,R5,12,D,Fagus Sylvatica,Measure
51,E13,2,R6,3,W,Quercus Rorbur,Measure
52,B38,2,R6,4,D,Fagus Sylvatica,Measure
53,D45,2,R6,5,W,Pseudotsuga Menziesii,Measure
54,T21,2,R6,6,D,Abies Alba,Measure
55,D25,2,R6,7,W,Pseudotsuga Menziesii,Measure
56,B37,2,R6,8,D,Fagus Sylvatica,Measure
57,T9,2,R6,9,W,Abies Alba,Measure
58,B26,2,R6,10,D,Fagus Sylvatica,Measure
59,D28,2,R6,11,W,Pseudotsuga Menziesii,Measure
60,E45,2,R6,12,D,Quercus Rorbur,Measure
61,B31,2,R7,3,W,Fagus Sylvatica,Measure
62,D40,2,R7,4,D,Pseudotsuga Menziesii,Measure
63,E51,2,R7,5,W,Quercus Rorbur,Measure
64,B1,2,R7,6,D,Fagus Sylvatica,Measure
65,B30,2,R7,7,W,Fagus Sylvatica,Measure
66,E14,2,R7,8,D,Quercus Rorbur,Measure
67,B34,2,R7,9,W,Fagus Sylvatica,Measure
68,T44,2,R7,10,D,Abies Alba,Measure
69,E37,2,R7,11,W,Quercus Rorbur,Measure
70,T42,2,R7,12,D,Abies Alba,Measure
71,D15,2,R8,3,W,Pseudotsuga Menziesii,Measure
72,T6,2,R8,4,D,Abies Alba,Measure
73,B43,2,R8,5,W,Fagus Sylvatica,Measure
74,E20,2,R8,6,D,Quercus Rorbur,Measure
75,T1,2,R8,7,W,Abies Alba,Measure
76,D10,2,R8,8,D,Pseudotsuga Menziesii,Measure
77,E15,2,R8,9,W,Quercus Rorbur,Measure
78,D33,2,R8,10,D,Pseudotsuga Menziesii,Measure
79,B23,2,R8,11,W,Fagus Sylvatica,Measure
80,D35,2,R8,12,D,Pseudotsuga Menziesii,Measure
81,E7,1,R1,1,D,Quercus Rorbur,Weighing
82,T19,1,R1,2,W,Abies Alba,Weighing
83,D1,1,R2,1,D,Pseudotsuga Menziesii,Weighing
84,B36,1,R2,2,W,Fagus Sylvatica,Weighing
85,T15,1,R3,1,D,Abies Alba,Weighing
86,E26,1,R3,2,W,Quercus Rorbur,Weighing
87,B22,1,R4,1,D,Fagus Sylvatica,Weighing
88,D2,1,R4,2,W,Pseudotsuga Menziesii,Weighing
89,D34,2,R5,1,W,Pseudotsuga Menziesii,Weighing
90,B28,2,R5,2,D,Fagus Sylvatica,Weighing
91,T41,2,R6,1,W,Abies Alba,Weighing
92,D11,2,R6,2,D,Pseudotsuga Menziesii,Weighing
93,B20,2,R7,1,W,Fagus Sylvatica,Weighing
94,T38,2,R7,2,D,Abies Alba,Weighing
95,E31,2,R8,1,W,Quercus Rorbur,Weighing
96,E27,2,R8,2,D,Quercus Rorbur,Weighing
